language,id,text,file,node,lineNumber,lock,comment
en,line:ann_1_1,"Announcer: Settle down, settle down!",/Users/horatiuroman/Unity/GlobalGameJam2026/Assets/Dialogues/Introduction.yarn,Start,17,dae4df7a,
en,line:ann_1_2,"Announcer: Welcome Psykers, to the 100th ==Psycho Killer Annual Convention==!",/Users/horatiuroman/Unity/GlobalGameJam2026/Assets/Dialogues/Introduction.yarn,Start,19,0278b270,
en,line:10v375v0v7g,Psykers: Woooooooooooooo!!!,/Users/horatiuroman/Unity/GlobalGameJam2026/Assets/Dialogues/Introduction.yarn,Start,21,7ff9c864,
en,line:ann_1_3,"Announcer: We all know how hard each of you have worked this year, and we congratulate you.",/Users/horatiuroman/Unity/GlobalGameJam2026/Assets/Dialogues/Introduction.yarn,Start,23,a159628a,
en,line:ann_1_4,"Announcer: As a way to give back to the community, we have organized a packed programme for you tonight.",/Users/horatiuroman/Unity/GlobalGameJam2026/Assets/Dialogues/Introduction.yarn,Start,24,9336fdfc,
en,line:ann_1_5,"Announcer: Not least our special guest, the internationally acclaimed",/Users/horatiuroman/Unity/GlobalGameJam2026/Assets/Dialogues/Introduction.yarn,Start,25,35ede28b,
en,line:ann_1_6,Announcer: Fine Art Grant Prix recipient,/Users/horatiuroman/Unity/GlobalGameJam2026/Assets/Dialogues/Introduction.yarn,Start,26,36095e0a,
en,line:ann_1_7,Announcer: Highly regarded,/Users/horatiuroman/Unity/GlobalGameJam2026/Assets/Dialogues/Introduction.yarn,Start,27,43d12fca,
en,line:ann_1_8,Announcer: Artist of the year: {0} !,/Users/horatiuroman/Unity/GlobalGameJam2026/Assets/Dialogues/Introduction.yarn,Start,28,23d99374,
en,line:035f29a,Psykers: WooooOOOOoooOOOooooO !!!,/Users/horatiuroman/Unity/GlobalGameJam2026/Assets/Dialogues/Introduction.yarn,Start,30,e4117a10,
en,line:ann_1_9,"Announcer: Our guest of honor will delight us by the end of tonight's festivities, with the ==Mask of Centuries==",/Users/horatiuroman/Unity/GlobalGameJam2026/Assets/Dialogues/Introduction.yarn,Start,31,56c6650b,
en,line:ann_1_10,"Announcer: an art piece that will be created during the course of this night, with your help.",/Users/horatiuroman/Unity/GlobalGameJam2026/Assets/Dialogues/Introduction.yarn,Start,32,07b45bb3,
en,line:063e2fc,Psykers: WOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO !!!,/Users/horatiuroman/Unity/GlobalGameJam2026/Assets/Dialogues/Introduction.yarn,Start,34,b6fbca70,
en,line:ann_1_11,"Announcer: {0} is well known for their artisanal mask creation practice, though their methods remain obscure.",/Users/horatiuroman/Unity/GlobalGameJam2026/Assets/Dialogues/Introduction.yarn,Start,35,5c133fd4,
en,line:ann_1_12,Announcer: Please enjoy the buffet and welcome our first performer ...,/Users/horatiuroman/Unity/GlobalGameJam2026/Assets/Dialogues/Introduction.yarn,Start,36,9b120a4b,
en,line:063e2dfc,Psykers: W0oo000ooo0ooooooOO0o0OO()()O0oOOooo0O()()()()()O1111!!!,/Users/horatiuroman/Unity/GlobalGameJam2026/Assets/Dialogues/Introduction.yarn,Start,38,edc0938d,
en,line:ann_1_13,Announcer: And don't be killing each other tonight.,/Users/horatiuroman/Unity/GlobalGameJam2026/Assets/Dialogues/Introduction.yarn,Start,39,bab814f7,
en,line:ann_1_14,"Announcer: We are professionals, after all.",/Users/horatiuroman/Unity/GlobalGameJam2026/Assets/Dialogues/Introduction.yarn,Start,40,f332bd17,
en,line:0091b13,{0}: Hello {1}! Welcome to the Psycho Killer Annual Convention!,/Users/horatiuroman/Unity/GlobalGameJam2026/Assets/Dialogues/Introduction.yarn,Russki_Convo,45,fd18b8e1,
en,line:0602af1,{0}: I love eyes that are as big as Potatoes,/Users/horatiuroman/Unity/GlobalGameJam2026/Assets/Dialogues/Introduction.yarn,Spanish_Granny,49,07743fc7,
en,line:0271c5b,{0}: I love red eyes black cats,/Users/horatiuroman/Unity/GlobalGameJam2026/Assets/Dialogues/Introduction.yarn,Poquito,53,bc1c890c,
en,line:09e0d64,{0}: I love blue eyes white cats,/Users/horatiuroman/Unity/GlobalGameJam2026/Assets/Dialogues/Introduction.yarn,Kristian,57,16bcb964,
en,line:0e461bd,{0}: Mother ducker here is your one line,/Users/horatiuroman/Unity/GlobalGameJam2026/Assets/Dialogues/Introduction.yarn,Francois,61,9f231c22,
en,line:0bd5d93,{0}: I like eyes the conquering eyes,/Users/horatiuroman/Unity/GlobalGameJam2026/Assets/Dialogues/Introduction.yarn,Lasuke,65,e4e59748,
en,line:0b1975f,{0}: Have you seen my bestie Finnish Herr,/Users/horatiuroman/Unity/GlobalGameJam2026/Assets/Dialogues/Introduction.yarn,Pasha,70,cf9b66db,
en,line:034d9ea,{0}: I love my eyes,/Users/horatiuroman/Unity/GlobalGameJam2026/Assets/Dialogues/Introduction.yarn,Fester,75,0556c43c,
en,line:0aafb10,Announcer: You WIN!,/Users/horatiuroman/Unity/GlobalGameJam2026/Assets/Dialogues/Introduction.yarn,Ending,80,3e49a959,
